ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
212,Finchley Road,526293,184703,51.547095906434400,-0.180050559,2,NW6 3BS,2
213,Finchley Road and Frognal,526035,185033,51.55011920011290,-0.183651201,2,NW3 5HT,2
214,Finsbury Park,531385,186784,51.564635274841400,-0.105881486,2,N4 3JU,2
215,Forest Gate,540447,185322,51.54931616108420,0.024189091543256300,3,E7 0QH,3
216,Forest Hill,535398,172943,51.43930822760030,-0.053328504,3,SE23 3HD,3
217,Fulham Broadway,525402,177244,51.480260585746300,-0.195544162,2,SW6 1BY,2
218,Fulwell,514832,171841,51.433941995205700,-0.349438518,6,TW2 5NY,6
219,Gallions Reach,543873,180935,51.50903426024890,0.071775395,3,E6 6FZ,3
220,Gants Hill,543266,188432,51.57655306294170,0.066084098,4,IG2 6UD,4
221,George Street,532432,165594,51.37396589757680,-0.098718105,3,CRO 1LA,"3,4,5,6"
222,Gidea Park,552941,189306,51.581866086649700,0.20597698312646700,6,RM2 6BX,6
223,Gipsy Hill,533321,171237,51.42446938789820,-0.083835167,3,SE19 1PL,3
224,Gloucester Road,526196,178848,51.494499259625200,-0.183543558,1,SW7 4SF,1
225,Golders Green,525199,187471,51.57221521685040,-0.194834557,3,NW11 7RN,3
226,Goldhawk Road,523131,179616,51.502076596636800,-0.227404003,2,W12 8EG,2
227,Goodge Street,529505,181837,51.52061289126980,-0.134807689,1,W1T 2HF,1
228,Goodmayes,546462,187369,51.566181168031900,0.11172965502875000,4,IG3 9UH,4
229,Gordon Hill,531889,197799,51.66350208554500,-0.094473299,5,EN2 0QU,5
230,Gospel Oak,528263,185677,51.555405048065400,-0.151301031,2,NW5 1LT,2
231,Grange Hill,544963,192590,51.61348057933540,0.09227253,4,IG7 5QB,4
232,Grange Park,531753,195472,51.64262292064850,-0.097314423,5,N21 1RE,5
233,Gravel Hill,536359,163536,51.35454318729640,-0.043121699,3,CR0 5BJ,"3,4,5,6"
234,Great Portland Street,528861,182174,51.52378856271790,-0.143961424,1,W1W 5PP,1
235,Green Park,529012,180283,51.50676025371460,-0.142477574,1,W1J 7BX,1
236,Greenford,514808,183861,51.54197950701460,-0.345878733,4,UB6 8PR,4
237,Greenwich,537956,177267,51.47754764253430,-0.014863084,2,SE10 8JQ,"2,3"
238,Grove Park,540702,172099,51.43043268339480,0.022598502190233900,4,SE12 0PW,4
239,Gunnersbury,519843,178401,51.49186296322990,-0.275164131,3,W4 5RP,3
240,Hackbridge,528582,165929,51.377860649835700,-0.153879197,4,SM6 7BJ,4
241,Hackney Central,534922,184943,51.54725735659260,-0.055589512,2,E8 1LL,2
242,Hackney Downs,534598,185137,51.54907798925830,-0.060185105,2,E8 1LA,2
